Type,Amount,WaitTimeNanos
Consumer,41016,83
Producer,12020,58170250
Producer,67264,58158875
Consumer,50431,125
Producer,40578,58151375
Producer,73789,58135583
Consumer,84748,125
Producer,56336,58269209
Producer,13861,58252875
Consumer,94594,1125
Producer,84709,58326958
Producer,38028,58318959
Producer,19950,58315041
Producer,15534,58304292
Consumer,3175,291
Consumer,31734,333
Consumer,96349,375
Producer,87752,58815167
Producer,30431,58801417
Consumer,99354,292
Producer,69942,58814292
Consumer,94896,208
Producer,90155,58874333
Consumer,28754,708
Producer,71086,58906416
Consumer,8396,250
Consumer,51516,166
Producer,33110,58973208
Consumer,13678,83
Consumer,34203,42
Consumer,72830,84
Producer,98382,59011625
Consumer,98125,209
Producer,82373,59020416
Consumer,94436,209
Producer,94433,59173334
Producer,33887,59165542
Consumer,95233,83
Producer,51669,59149084
Producer,84410,59131625
Consumer,29321,41
Consumer,27230,83
Consumer,5590,41
Consumer,45228,83
Producer,74326,59339500
Consumer,21618,83
Consumer,79602,83
Producer,87355,59392042
Consumer,2174,125
Consumer,72285,83
Producer,73868,59601542
Consumer,87269,333
Producer,84236,59615166
Consumer,10023,292
Producer,54242,59606292
Consumer,28565,167
Consumer,50809,42
Producer,51541,59789625
Consumer,60076,375
Producer,89885,59888917
Consumer,56034,583
Producer,53872,59912917
Consumer,42086,375
Producer,30186,59929375
Consumer,67057,334
Producer,25651,59941458
Consumer,36033,291
Producer,95389,59953959
Consumer,21801,250
Consumer,97923,83
Producer,57480,60046333
Consumer,89472,36125
Consumer,5590,375
Producer,9465,60072291
Producer,26616,60055125
Producer,52185,60049708
Producer,41418,60041208
Consumer,43,375
Consumer,95723,0
Producer,94928,60214667
Producer,19988,60210542
Consumer,70294,250
Producer,10043,60213958
Producer,66570,60190208
Consumer,47735,417
Producer,42108,60493625
Consumer,35965,791
Consumer,38656,84
Producer,64175,60560542
Consumer,16219,875
Consumer,14685,458
Consumer,83678,375
Producer,89026,60829458
Consumer,96913,292
Producer,57047,60837792
Consumer,32739,500
Consumer,9923,125
Producer,32543,60866916
Producer,36100,60853083
Producer,59953,60838833
Consumer,17832,458
Consumer,99281,334
Producer,68727,60912583
Producer,42928,60894750
Consumer,29361,84
Consumer,76855,125
Producer,81079,60911375
Consumer,40996,42
Producer,54864,60916166
Consumer,98851,667
Producer,26157,60924875
Producer,66848,60912875
Consumer,71003,250
Producer,70026,60890166
Consumer,70531,41
Producer,24230,61198500
Producer,36943,61180708
Consumer,70792,125
Producer,63491,61192125
Consumer,71878,334
Producer,53081,61180541
Producer,33143,61171250
Consumer,74666,167
Producer,69053,61173334
Consumer,80692,42
Producer,66034,61181042
Consumer,99857,375
Producer,70299,61181458
Producer,54810,61172250
Consumer,12419,166
Consumer,79863,41
Producer,68343,61189833
Consumer,10816,42
Consumer,96423,42
Producer,81356,61401167
Producer,17287,61384625
Consumer,79645,125
Producer,76445,61461417
Producer,1135,61442417
Producer,52242,61427583
Consumer,66294,292
Producer,66470,61417500
Consumer,94891,292
Producer,79996,61451875
Consumer,53644,41
Producer,29819,61458875
Producer,33444,61443834
Consumer,39549,458
Producer,13161,61457917
Consumer,52939,250
Consumer,51326,42
Producer,98131,61620500
Consumer,1739,0
Consumer,18283,84
Consumer,88955,42
Producer,68228,61709709
Producer,53756,61699125
Consumer,31700,250
Producer,49653,61743625
Consumer,68609,208
Producer,74539,61796084
Consumer,50469,333
Producer,17916,61816458
Consumer,38707,333
Consumer,20983,83
Consumer,11809,41
Producer,97688,62144875
Consumer,62553,166
Producer,70295,62167459
Consumer,70758,458
Consumer,85409,333
Producer,76814,62269458
Producer,56505,62253083
Consumer,47550,125
Producer,42375,62248666
Consumer,78654,208
Producer,75818,62257167
Producer,20080,62242209
Consumer,83791,167
Producer,34900,62390000
Producer,28029,62375792
Consumer,44365,167
Producer,76145,62362708
Consumer,70919,750
Producer,59979,62497791
Consumer,74329,333
Producer,41446,62507417
Producer,23552,62490208
Consumer,41200,416
Consumer,63445,83
Producer,87514,62539709
Consumer,95516,17000
Producer,4780,62533792
Consumer,32309,83
Producer,7984,62515083
Producer,72841,62500209
Consumer,40506,83
Producer,81919,62484375
Consumer,27261,41
Consumer,40496,83
Producer,78082,62514500
Consumer,73473,333
Producer,65307,62466667
Consumer,13737,250
Consumer,52648,291
Producer,71877,62674583
Consumer,58252,42
Producer,74737,62754917
Consumer,46220,83
Producer,35972,62761041
Producer,3638,62749167
Consumer,40585,42
Producer,31865,62913541
Producer,29848,62898958
Consumer,45567,417
Producer,5460,62921791
Consumer,27002,375
Producer,57525,62937334
Consumer,57861,292
Producer,29482,62971833
Producer,20644,62966333
Consumer,57409,125
Producer,64658,63045125
Consumer,88322,42
Producer,13964,63041500
Producer,31730,63026292
Producer,10023,63005833
Consumer,29082,250
Producer,29373,62991750
Producer,37539,62984792
Consumer,22787,42
Producer,9941,63060625
Producer,2812,63047167
Consumer,62052,292
Producer,45682,63037000
Producer,17068,63023791
Consumer,67628,83
Producer,25132,63131875
Consumer,97976,167
Producer,80000,63151875
Consumer,83890,23792
Producer,13514,63150042
Producer,64457,63128417
Producer,75253,63114709
Consumer,46954,167
Producer,45752,63154791
Consumer,18622,458
Consumer,44931,416
Consumer,36087,0
Producer,82406,63407125
Consumer,41198,83
Producer,38397,63396417
Consumer,65071,542
Producer,43756,63387416
Producer,5395,63373583
Consumer,69467,208
Producer,67310,63355750
Producer,23045,63339000
Consumer,43793,167
Consumer,5881,42
Consumer,81861,125
Producer,78478,63687959
Consumer,17196,41
Producer,45374,63711292
Consumer,97774,84
Producer,29718,63710791
Producer,64978,63697542
Consumer,6610,334
Consumer,92231,42
Producer,60024,63795583
Producer,4652,63783542
Consumer,73018,542
Producer,57341,63780416
Consumer,1088,250
Producer,60467,63775334
Consumer,81938,375
Producer,89603,63958625
Producer,11110,63948042
Consumer,39323,208
Producer,54198,63921000
Consumer,68163,750
Consumer,8657,333
Consumer,37195,84
Producer,89533,64076333
Consumer,39241,41
Producer,37730,64082833
Producer,6194,64113167
Producer,22211,64101209
Consumer,35437,375
Producer,13249,64090292
Consumer,70496,250
Producer,47228,64177958
Consumer,19442,459
Consumer,31149,417
Producer,96404,64231000
Consumer,68672,125
Consumer,44787,0
Producer,75269,64339334
Consumer,71176,41
Producer,86401,64333459
Consumer,88859,0
Producer,76662,64349333
Consumer,29540,166
Producer,51170,64433500
Consumer,53644,292
Consumer,17919,0
Producer,77193,64473625
Consumer,47878,0
Consumer,97746,42
Producer,88905,64525333
Consumer,51866,125
Producer,3632,64540459
Producer,13251,64538208
Consumer,17991,459
Producer,36174,64545416
Producer,46238,64556500
Consumer,32120,292
Consumer,79081,41
Producer,81265,64765959
Consumer,66892,84
Producer,99978,64766709
Producer,19981,64749667
Consumer,91504,458
Producer,91698,64757916
Consumer,35221,459
Consumer,69865,42
Producer,55816,64800750
Producer,51520,64794709
Consumer,46823,334
Consumer,50056,625
Producer,78584,64806250
Producer,21436,64795208
Producer,8452,64789291
Consumer,22880,167
Consumer,26057,83
Producer,25797,65010875
Consumer,22613,42
Consumer,68558,0
Producer,73871,65033625
Producer,6960,65012167
Consumer,74652,209
Producer,80089,65000458
Consumer,608,209
Consumer,50372,42
Producer,48736,65124209
Producer,19685,65110875
Consumer,76350,125
Producer,59226,65092958
Consumer,76340,84
Producer,74609,65094625
Producer,3305,65081958
Consumer,93610,125
Producer,29710,65066333
Producer,83451,65047542
Consumer,50241,125
Producer,12773,65035959
Consumer,95955,83
Producer,81039,65178417
Consumer,7385,84
